"filename", "language", "YAML", "Markdown", "Dart", "JSON", "Groovy", "C++", "Properties", "XML", "Swift", "HTML", "comment", "blank", "total"
"d:\VSCode\Flutter\Projects\lil_fishy\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 11, 62
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\google-services.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 11, 1, 44
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\VSCode\Flutter\Projects\lil_fishy\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\VSCode\Flutter\Projects\lil_fishy\android\build.gradle", "Groovy", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"d:\VSCode\Flutter\Projects\lil_fishy\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\VSCode\Flutter\Projects\lil_fishy\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"d:\VSCode\Flutter\Projects\lil_fishy\android\settings.gradle", "Groovy", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\VSCode\Flutter\Projects\lil_fishy\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\VSCode\Flutter\Projects\lil_fishy\lib\imports.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\VSCode\Flutter\Projects\lil_fishy\lib\main.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"d:\VSCode\Flutter\Projects\lil_fishy\lib\modules\cards.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 17, 18, 108
"d:\VSCode\Flutter\Projects\lil_fishy\lib\modules\data.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 37, 46, 239
"d:\VSCode\Flutter\Projects\lil_fishy\lib\modules\firebase.dart", "Dart", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 23, 38, 177
"d:\VSCode\Flutter\Projects\lil_fishy\lib\modules\logic.dart", "Dart", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 68, 110, 502
"d:\VSCode\Flutter\Projects\lil_fishy\lib\modules\tools.dart", "Dart", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 6, 21, 169
"d:\VSCode\Flutter\Projects\lil_fishy\lib\screens\game.dart", "Dart", 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 10, 22, 289
"d:\VSCode\Flutter\Projects\lil_fishy\lib\screens\home.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 3, 22, 175
"d:\VSCode\Flutter\Projects\lil_fishy\lib\screens\lobby.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 8, 17, 182
"d:\VSCode\Flutter\Projects\lil_fishy\lib\screens\room.dart", "Dart", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 20, 152
"d:\VSCode\Flutter\Projects\lil_fishy\lib\screens\scores.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 7, 10, 115
"d:\VSCode\Flutter\Projects\lil_fishy\lib\temp.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 1, 60
"d:\VSCode\Flutter\Projects\lil_fishy\pubspec.yaml", "YAML", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 8, 76
"d:\VSCode\Flutter\Projects\lil_fishy\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 5, 46
"d:\VSCode\Flutter\Projects\lil_fishy\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 23, 13, 1743, 207, 84, 1, 8, 127, 12, 26, 296, 403, 2943
